,title,description
281,Leasing and Marketing Manager,"Who is Asset Campus Housing? WeÛªre the nationÛªs largest 3rd party student housing property management company with over 121,500 beds currently under management. Our people truly are the most valued part of our company, and as such we acknowledge and reward those who consistently show initiative and add value. As we grow, positions continually open for all career levels.We look to hire experienced student housing professionals who are capable of making an immediate impact in the organization. Ultimately, professionals join our organization because of our reputation, culture and growth. As a fifth year recipient of the prestigious Inc. 500/5000 fastest growing companies award, we provide unparalleled opportunities for career progression.Responsibilities include, but are not limited to: Oversee marketing and leasing efforts to maximize the occupancy of the communityPrepare marketing plans and develop new strategies and programs designed to meet occupancy goalsTrain leasing staff on how to market on campus and locations that students frequentPrepare daily and weekly leasing reports and pricing recommendationsEnsure leasing staff complies with corporate procedures and government laws on Fair HousingEnsure follow up activities take place for all prospective residentsManage and review all lease, guarantor and data entry processesAssist in timely collection and processing of rental and other incomeCoordinate and participate in resident retention programsGenerate and track traffic of prospective residents by utilizing effective marketing techniquesConduct all tasks necessary to close the sale, including making appointments, generating new leads, conducting tours, maintaining the model and traffic follow upWalk tour route and model unit dailyEnsure an adequate stock of professionally printed collateral and promotional items are on hand at all timesMonitor and update all social media channels to promote the propertyManage roommate matching, transfer, and move-insAssist the Community Manager with the accounts payable processParticipate in all turn related activitiesOperates marketing activities within the confines of the marketing budget, deviating only with prior approvalAssist in development and supervision of staffUnderstand the needs and expectations of residents, prospective residents, clients, and vendors and exceed their expectationsMaintain a positive community environment for both residents and associates and encourage participation in events and activitiesAssist in mediation and resolution of resident conflicts by encouraging the respect for and appreciation of individual differencesWe look for individuals who embrace the ASSET way:ACHIEVERwe are results, not hours drivenSELFLESSyou seek what is best for ACH, rather than best for yourself or your groupSUCCEEDwe look for people with a track record of successETHICALwe hire character, we train skillTEAMWORKwe focus on less me, more weJob Type: Full-timeExperience:Leasing: 2 years (Required)Management: 3 years (Preferred)Work authorization:United States (Required)Required travel:25% (Preferred)"
282,Associate Manager,"TemporaryAt JCPenney, we share a passion for serving customers, supporting our communities and being the best retailer for all families. As a company founded on the Golden Rule, our success is rooted in the belief that we treat everyone the way we would want to be treated. At every touchpoint, customers will discover stylish merchandise at incredible value from an extensive portfolio of private, exclusive and national brands. Reinforcing this shopping experience is the customer service and warrior spirit of approximately 98,000 associates across the globe, all driving toward helping customers find what they love for less time, money and effort.
Working at JCPenney means joining a dedicated team of associates who are encouraged to be uniquely themselves in a safe, caring and welcoming environment. It is a place where careers prosper, accomplishments are celebrated and diversity flourishes. ItÛªs a place thatÛªs meant for you.
Do you like serving customers and doing everything you can to make them happy? Do you like working in a fast and ever changing environment, with new shops, new fashion, and new technology? WellÛ?being a Seasonal Cashier at JCPenney might be the position for you!
The Seasonal Cashier is a position thatÛªs always on the lookout for customers that need assistance or merchandise that needs to reset. As a seasonal hire you will have a defined employment time period. Your manager will communicate with you what your last day worked will be as the peak season comes to an end.

Responsibilities :
Assists customers: You seek out customers and do whatever you can to make their experience great from the sales floor to the register. You listen, you help, and you make them want to come back!
Adjusts to customer flow: You are always on the move and available to provide assistance to customers or your co-workers.
Maintains product presentation: You are always making adjustments to display the latest fashion and merchandise trends after the customer has taken time to explore all of our great products!
Replenish and restock the store: You understand the needs of the customer. When merchandise is getting low, you know just where to get more to ensure all of our customers have the styles and sizes they need.
Participates in a learning environment: You absorb new information from your peers or training materials on our merchandise or business processes.

Skills and Characteristics:
Results : Solve problems and make smart decisions that drive sales, profit or customer service; execute your work efficiently and effectively; inspire strong performance in yourself and others
Ownership : Provide great customer service; cooperate and build positive, inclusive and respectful relationships; take accountability for your actions and outcomes
Intensity : Proactively find ways to improve the customer experience; show the confidence and courage to do whatÛªs right; take action with energy and urgency"
283,Department Specialist,"This Department Specialist is responsible for the daily tasks in a designated department and coordinating the work to be performed. This position will support the Store Leadership team in all department related activities and the accomplishment of all Store operating goals.
RESPONSIBILITIES
Follow company policies and procedures and maintain a safe work environment.
Acknowledge and greet all guests in a pleasant and courteous manner and ensure all guests receive prompt service in all areas of the store.
Role model positive guest service and demonstrate application of Gordmans core competencies to enhance associate engagement and team morale.
Address daily merchandising needs to include, but not limited to, heavy/light inventory levels, seasonal store layouts.
Maintain merchandise fixtures. Assemble, disassemble, move and store merchandise fixtures and parts.
Monitor departmental performance goals and review necessary reports to strategize in the planning and execution of department activities. Create established timelines for layout changes, signage, freight placement, markdowns and recovery, as necessary.
Accurately complete a number of administrative tasks including merchandise counts, price changes, transfers, returns and damages.
Assist Store Leadership in the training of new and transferring associates on key job responsibilities to achieve company profit driving programs; i.e. Credit, Synapse and g-Rewards.
Communicate clearly with Store Leadership, co-workers, and associates to provide proactive information regarding status of projects including providing feedback and recognition to associates on results achieved.
Exhibit behavior that properly represents Gordmans at all times, by conducting business in an ethical and socially responsible manner and actively promoting company initiatives.
Department Specialists are required to know and perform the essential duties of the sales associate function, including unloading trucks and providing guest assistance at the register, as business requires or as directed by an appropriate supervisor.
Detect common signs of dishonest behaviors and safeguard company assets.

QUALIFICATIONS AND SKILLS
Ability to coordinate and execute merchandise placement and layout changes, sales promotion activities and pricing of merchandise.
 Ability to learn and perform all essential job functions accurately with minimal direct supervision
Ability to anticipate and solve problems.
Ability to communicate in a clear, concise manner.
Ability to discern dishonest activity or dangerous behavior either by associates or guests.
Is knowledgeable and can follow all Store Safety and Emergency procedures.
Ensuring high levels of customer satisfaction by being knowledgeable on all products offered, and teaming up with co-workers to provide excellent Guest service
Delivering sales, outstanding customer experience, and operational expectations
Maintaining personal and productivity goals
Contributes to a positive and inclusive work environment
Ability to successfully pass a pre-employment background screen."
284,Key Holder,"POSITION PURPOSE

Promote all aspects of the business including selling, pricing and merchandising the store. Opening/closing responsibilities. Promoting a high level of customer service by ensuring customers are assisted in an enthusiastic, timely, and knowledgeable manner.

MAJOR AREAS OF RESPONSIBILITY

1. Greet customers immediately, determine their needs, and handle all transactions in a professional and enthusiastic manner.
2. Opening and/or closing responsibilities including but not limited to: responsibility for key, opening and/or closing the store on a timely basis and according to schedule, balancing, opening/closing the till and responsibility for deposits as needed.
3. Become familiar with products, brands and prices and make recommendations of products, including their features and benefits, to suit customers needs. Maximize sales and customer satisfaction by adding items to the close of the sale.
4. Buy used product, reinforcing the customers purchases and sales to the store. Invite customers to return to the store with their used gear for product trade or to sell.
5. Price and ticket items appropriately based on pricing/buying guidelines. Restock store following merchandising plan. Maintain store displays and follow store housekeeping and maintenance standards and procedures.
6. Develop proficiency in operating the point of sale system in the store for all sale transactions.
7. Promote and role model superior customer service to all customers, every day. Ensure that all store associates understand and support the pursuit of superior service.
8. Achieve personal and store goals by applying sound customer service and sales protocol.
9. Ability to prioritize, perform and/or assign daily store tasks in a timely/efficient manner.

QUALIFICATIONS

1. Prior retail experience in similar product lines and /or customer service experience with proven leadership skills.
2. Ability to work well unsupervised as a team member and to take and follow directions.
3. Excellent interpersonal and communication skills required.
5. Sales and goal oriented/driven.
6. High level of control/critical thinking skills and problem solving in regards to all aspects of store operations.
7. Accurate and efficient mathematics.
8. Proficient and knowledgeable to operate computer system and software.
9. Exhibiting strong organizational and time management skills are critical, in order to handle a high level of responsibility.

PHYSICAL REQUIREMENTS

1. Ability to stand and walk for long periods of time, up to 8 hours per day.
2. Lifting up to 40 lbs. without assistance.
3. Bending, rotating, and reaching conducive to a retail environment and to receiving, pricing, and stocking merchandise.
4. Able to operate a computerized sales terminal.
5. No exposure to hazardous materials or environments.

Brand: Plato's Closet
Address: 3540 State Road 38 East Suite 503 Lafayette, IN - 47905
Property Description: 80041-Platos Closet
Property Number: 80041"
285,Marketing Coordinator,"The Marketing and Communications Specialist plays an essential role in developing, customizing, aligning and managing communications to prospective students. This role serves to promote the nine (9) unique MBA and Master's programs that the Krannert School of Management offers to a diverse global audiences. The Marketing and Communications Specialist will be tasked with assisting the Associate Director in developing engaging custom content strategies to reach target markets. The Marketing and Communications Specialist will also be a leading contributor in the expansion and management of content primarily for the Krannert Master's website, but also across multiple channels and communication tools such as automated communications, print collateral, and automated messenger service. In addition to developing engaging content, the Marketing and Communications Specialist will be tasked with ensuring accuracy, consistency, and proper voice across channels. Additional responsibilities may include writing feature pieces, developing business information pieces (i.e. white papers, ebooks, etc.), conducting market research, coordinating event promotions, supporting marketing and recruiting initiatives, and developing and executing communications plans and strategies.

The successful candidate must be a capable content manager, an excellent writer, and sound communications strategist. This requires the ability to draft compelling content in short and long form, that is optimized across devices, and maintains high SEO performance. This role will also be responsible for monitoring content performance using a variety of metrics. The Marketing and Communications Specialist must also be able to identify communication gaps and opportunities based on market trends and competitive benchmarking and then proceed to develop and execute response strategies. A successful candidate will also need technical competencies with communication systems such as comprehensive CMS and CRM systems. Other essential traits for the candidate include a collaborative spirit, attention to detail, exceptional organization skills, strong work ethic, and the ability to consistently perform at a highly productive level under tight deadlines.

This position functions in a collaborative environment within a higher education setting. The candidate will be required to deliver high-caliber results with integrity befitting the Purdue University brand.

Qualifications


Required:
Bachelor's degree in Marketing, Communications, Journalism, English or related.
Three years of marketing, communications or other related experience.
Excellent grammar and written communication skills.
Ability to develop and executive effective communications strategies and action plans.
Skills in competitor benchmarking and research.
Competence in leveraging data to drive content development along with strong organization prioritizing skills.
Excellent attention to detail as well as technical skills in utilizing CRM and CMS platforms to disseminate communications.
Strong reporting and data tracking skills.
High self-motivation with ability to work in a fast-paced setting with tight deadlines.
Preferred:
Experience working in a higher education setting.
Demonstrated experience developing content towards a corporate or business audience.
Additional Information:
Purdue will not sponsor a work related visa for this position.
A background check is required for employment in this position.
FLSA: Exempt (Not Eligible For Overtime)
Retirement Eligibility: Defined Contribution Waiting Period.
Purdue University is an EEO/AA employer. All individuals, including minorities, women, individuals with disabilities, and veterans are encouraged to apply."
286,Catering Coordinator,"We have 6 openings for a full-time CASHIER/FOOD SERVICE WORKER position.
Location: Lafayette School Corporation - 2300 Cason St, Lafayette, IN 47904. Note: online applications accepted only.
Schedule: Open availability, shifts are from 8:00 am to 2:30 pm.
Requirement: Prior food service and/or cash handling experience is a plus, but not required!
Perks: health insurance/sick days/no holidays or weekends

If you have a positive attitude and a love for learning, you may be interested in joining our team.

Want to influence a generation? How about working in a place where you know you make a difference. Try one of our 4000 public and private school locations managed by Chartwells School Dining Services. ThatÛªs about 2.6 million young students we provide meals and food service for each day. Eat. Learn. Live exemplifies ChartwellsÛª promise and philosophy that nourishing students is not only our business; itÛªs our commitment to the communities in which we serve.

Full time associates at Chartwells K-12 are offered many fantastic benefits such as:
Medical
Dental
Vision
Flexible Spending Accounts (FSAs)
Commuter Benefits
Wellness Program
Employee Assistance Program
Life Insurance for Associates and Eligible Dependents
Short Term Disability (STD) and Long Term Disability (LTD)
Accidental Death & Dismemberment (AD&D) Insurance
Discount Marketplace
And other voluntary benefits
Summary: Operates Point of Sale system, assists the Chef, prepares coffee, and keeps the coffee and cashier stations clean.

Essential Duties and Responsibilities:
Helps prepare foods such as meats, vegetables, baked goods and desserts. Also helps prepare catering orders.
Performs cashier duties using the POS system.
Perform general cleaning duties; removes trash and garbage to designated areas.
Provides service in all retail areas, including cashiering and line serving.
Cashiers according to established procedures, maintaining cash accuracy with receipts. Makes deposits at the end of each shift.
Inventories and restocks supplies and food products.
Sets up serving line, ensuring temperatures are taken, recorded and within acceptable ranges; notifies cooks if food temperatures are not within acceptable limits.
Serves hot and cold items to customers.
Sets up items for purchase on daily basis.
Keeps refrigerator stocked and product rotated using the first in, first out rule.
Stocks pantries with correct par levels of food items on a daily basis. Records replenished amounts on floor stock form for each unit. Records refrigerator temperatures on floor stock form daily.
Performs other duties as assigned.

About Compass Group: Achieving leadership in the foodservice industry

Compass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.
Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance).
Req ID: 231933"
287,Crew Member,"$8.50 - $9.50 an hourPart-timeMust be friendly, dependable, and like to smile with a positive attitude. This is a fast paced work environment serving customers and preparing the best subs in the business!

Job Type: Full-time / Part-time

Salary: $8.50 - $9.50/hour

Experience:

Customer Service: 1 year prefered, but not mandatory
Location:

Lafayette, IN
Shifts:

Evening
Morning
Mid-Day
Weekends"
291,Customer Service Sales,"Job Overview:

As a Sales Supervisor, you will support My Macy's and drive sales for a specific selling area in partnership with a Sales Manager. You will be responsible for assisting the Sales Manager by supervising all daily selling activities and leading a selling team in your selling area. Responsibilities include, assisting in the selling process; driving customer service through coaching and monitoring selling behaviors; teaching product knowledge and communicating policies and procedures. Perform other duties as assigned. This position leads to placement as a Sales Manager.

Essential Functions:

Sales:
Drive and exceed sales goals by executing Macy's initiatives.
Lead the push toward selling through coaching and recognition.
Review reports, identify deficient areas and partner with Sales Manager to implement action plans.
Identify best sellers and key items; communicate merchandise needs to optimize the My Macy's process.
Ensure accuracy of promotional presentation; communicate advertising and sales information to Associates.
Strengthen attendance and weekend hours compliance among staff
Motivate Associates to solicit our Star Rewards Program by reinforcing the benefits of new accounts.
Review your personal Selling Area Scorecard monthly for your Associate Turnover, Sales & Star Rewards results.
Establish high level of shortage awareness and effectiveness; ensure that all policies and procedures are implemented.

Customer:
Coach Associates to consistently deliver effective selling behaviors resulting in high customer engagement.
Review & utilize Associate Scorecards to provide recognition; partner with Sales Manager to develop and communicate strategies to improve results.
Observe Associates twice daily through formal observations focusing on selling behaviors; ensure Associates are providing an outstanding shopping experience to all customers.
Coach to Associate Scorecard metrics weekly through daily informal observations defining one focus metric and behaviors to improve an individual metric.
Ensure optimum sales floor coverage and lead selling initiatives throughout the store as required.
Maintain high customer readiness standards; deliver a clean, neat and easy to shop store environment.

People:
Partner with Sales Manager to interview and employ selling focused Sales Associates.
Engage in Macy's recognition program; reward Associates with recognition cards.
Provide input to performance evaluations; ensuring Associates participate in the development of individual performance improvement plans.
Make recommendations on Associate promotion, advancement, talent development and termination.
Address Associate concerns in a reasonable and fair manner, consistent with the values expected by the Company.
Create a positive, inclusive work environment resulting in retention of the best people and turnover reduction.
Coordinate Associate vacation scheduling and paid time off for Sales Manager's total area of responsibility.
Regular, dependable attendance & punctuality.

Qualifications:

Education/Experience:

BachelorÛªs Degree preferred or comparable work experience.
1-2 years experience.

Communication Skills:

Excellent written and verbal communication skills.
Ability to read, write and interpret instructional documents such as reports and procedural manuals.

Mathematical Skills:

Basic math functions such as addition, subtraction, multiplication, division, and analytical skills.

Reasoning Ability:

Must be able to work independently with minimal supervision and make sound decisions.

Physical Demands:
This position involves regular walking, standing, sitting, hearing, and talking.
May occasionally involve stooping, kneeling, or crouching.
May involve close vision, color vision, depth perception, focus adjustment.
Involves manual dexterity for using keyboard, mouse, and other office equipment.
May involve moving or lifting items under 10 pounds.

Other Skills:

Demonstrated leadership/supervisory skills.
Strong interpersonal and organizational skills.
Ability to empower and develop a team.
Ability to collaborate and function as a member of a team.
Ability to execute plans and strategies.
Strong organizational skills and the ability to adapt quickly to changing priorities.
Ability to anticipate and solve problems, act decisively and persist in the face of obstacles.
Ability to work in a fast pace environment.
Commitment to exemplifying the highest integrity and professional business standards.

Work Hours:
Ability to work a flexible schedule based on department and company needs.

This job description is not all inclusive. MacyÛªs Inc. reserves the right to amend this job description at any time. Macy's Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment."
292,Branch Manager,"A Relationship Banker is a Financial Concierge for our walk in customers. You are responsible for building customer and business relationships by proactively recommending appropriate deposit, loan and other banking products. When needed, you will also process customer transactions accurately and efficiently in order to provide exemplary customer service but educating customers on bank products, services and technology.

Your responsibilities include:

Providing excellent customer service and effectively resolving customer issues.
Being proficient in understanding and educating customers on consumer deposit products and consumer lending.
Driving sales through walk-in customers with a disciplined sales process and using current technology to drive both sales and service.
Sourcing referrals from customers, other bank colleagues and partners while educating and referring customers to other areas of the bank to deepen relationships and build a strong partnership.
Adhering to all operational, security, risk and regulatory policies and procedures.
Demonstrating acumen in sales, customer service, relationship management, banking, investments, consumer lending, business banking, business lending, communication and presentation.
Basic Qualifications:

High School Diploma
1 year customer service in banking, financial services or goal driven retail sales. Can include military service in an administration, contracting, civil affairs, or similar role.
 Or
Bachelor's Degree
 Preferred Qualifications:

Career minded individuals that want to join an organization where they can gain experience and build a career. Huntington provides career paths and development plans to get you where you want to go.
Bachelor's Degree
Cash handling skills preferred but not required
Comfort with technology such as mobile services and online banking services is a plus

Location Options for this Opening
2101 Teal Road, Lafayette, Indiana 47905
Full-Time or Part-Time
Full-time
EEOC Disclaimer
EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity
Tobacco Disclaimer
Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details.
Agency Statement
Huntington does not accept solicitation from Third Party Recruiters for any position."
293,Sales Associates,"Part-timeDescription
Position Summary:

The Tech Sales Associate is responsible for maintaining an Inspired Selling culture in the Mobile and Technology department. They are committed to offering every customer a total solution for his/her mobile and technology needs. The Tech Sales Associate is responsible for ensuring the Mobile and Technology department achieves key metrics, including profitable sales. An important focus of this role is to grow our business by offering solutions to our customers that meet their needs. The Tech Sales Associate is expected to possess extensive knowledge of the product assortments, carrier plans and offerings, as well as tech services available to customers and recognize the opportunity to advise the customer on these offerings. This includes selling through the kiosk.

Position Responsibilities:

Engagement: Engages customers on the sales floor. Uses VIBE behaviors to create a buying environment. Builds relationships with Certified Tech Associates to create synergy across all technology departments
Selling: Champions Mobile and Technology selling programs both in-store online; Exhibits Staples Selling behaviors in all interactions and communications with customers, associates and management. Achieve all sales goals. Respond and resolve customer requests and concerns
Operations: Responsible for ensuring all operational policies and processes are followed. Stays current on new technologies, products and services
Other duties as assigned

Qualifications
Essential Skills and Experience:

Analysis: Gathers and analyzes what they feel are the most important pieces of information needed to understand the problem or issue
Focus on Service: Searches actively for ways to improve customer service. Identifies customers' current requirements, expectations, and needs
Communication - Write and Speak with Impact: Expresses oneself effectively in one-on-one conversations and small groups. Adapts the level of detail and type of communication to the intended audience
Build Relationships: Is friendly and open in interactions with others, making them feel at ease. Demonstrates a genuine interest in people, their business and their technology needs
Drive for Results: Is accountable for Tech Services Sales, Margin and TSAT. Puts in sustained effort to accomplish desired results. Experience and interest in using reports and metrics to shape vision, goals/objectives
Listening - Listen Attentively: Asks questions to clarify others' comments and ensure understanding of the key messages. Listens to others' comments without interrupting. Is able to listen to a customerÛªs concerns and asks open ended questions to help identify needs and present solutions
Establishing Trust - Show Integrity: Establishes trust with customers; is a trusted advisor and able to maintain confidentiality
Managing Execution - Work Effectively & Efficiently: Prioritizes effectively and focuses on appropriate details, so work gets done accurately
Leveraging Diversity: Works cooperatively with people who have different backgrounds, knowledge, styles, talents, perspectives, values and beliefs
Basic Qualifications:

Sales and customer service experience in a retail environment

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law."
294,Wire Hanger Sorter/Recycler,"Requisition Number: 25515
Job Description
Cintas is currently seeking a Wire Hanger Sorter/Recycler to work in an active production facility.The selected individual will be responsible for cleaning and sorting used hangers returned from customers.Hangers that are classified as reusable will be sent back to the production floor, and hangers that are not able to be re-used will be recycled.The position involves repetitive motions over the duration of an entire shift, including sitting, walking and standing, and repeated bending, stretching, twisting and lifting.Daily accuracy of work is necessary for hanger expense cost control accountability.Additional responsibilities include housekeeping and adherence to health and safety standards.
Skills/Qualifications
Required
Ability to stand for 7 hours of an 8 hour shift



Our employee-partners enjoy:
Competitive Pay
401(k)/Profit Sharing/ESOP
Medical, Dental and Vision Insurance Package
Disability and Life Insurance Package
Paid Time Off and Holidays
Career Advancement Opportunities

Headquartered in Cincinnati, Cintas is a publicly held company traded over the Nasdaq Global Select Market under the symbol CTAS and is a component of both the Standard & PoorÛªs 500 Index and Nasdaq-100 Index.

Cintas Corporation helps more than 900,000 businesses of all types and sizes get READYã¢ to open their doors with confidence every day by providing a wide range of products and services that enhance our customersÛª image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and safety and compliance training, Cintas helps customers get Ready for the Workdayå¨.

To support our growth across North America, weÛªre seeking driven professionals with ambition to move up within our company. Our professional culture, our dedication to our employee-partners and limitless career opportunitiesÛÓthese are just a few benefits weÛªre proud to offer. Our employee-partners know every job is critical, and that teamwork drives innovation. LetÛªs talk about how youÛªll fit into our team and how your hard work will be recognized through competitive pay, world-class benefits and ongoing career development. Are you Readyã¢ for limitless opportunities at Cintas?

Cintas Corporation is an EEO/Affirmative Action Employer and will make all employment-related decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Job Category: Production Hourly
Organization: Rental
Employee Status: Regular
Schedule: Full Time
Shift: 1st Shift"
295,Carpenter,"$18 - $21 an hourAre you looking to take your career to the next level with a great company? Do you take pride in a job well done? Coors Remodeling is seeking a full-time Residential Remodeler with experience in windows, siding, roofing and doors, for our growing company. We offer a salary range of $18-$21.00 a hour depending on knowledge and experience. If this sounds like a good fit for you, then we encourage you to apply!
About Coors Remodeling
Choosing the right home improvement contractor is a tedious and time consuming process for most homeowners. Finding a company that can be trusted completely in and around our customers' homes can be even more frustrating. Coors Remodeling delivers ""peace of mind"" with every project and guarantees ""100% Customer Satisfaction"".
Our happy clients have used our services for installing new roofs, windows, siding, decks, and additions. We make them happy by listening to what they want and giving them what they need. That is why we truly value each and every employee who works for us we know our overall success depends on our great team.
 Benefits/Perks
401K
Paid Vacation and Holidays
Opportunity for advancement
Supportive management & team
Ongoing training opportunities
A day in the life of a Residential Carpenter
No two days are the same as you will do a wide variety of tasks such as siding, framing, drywall, window installation, decks, additions and more! This would be a perfect fit for a ""jack of all trades"" who enjoys some variety in their day to day jobs. We are looking for reliable individuals who will represent us well in our customer's homes, so customer service skills play a huge role in what we do.
Residential Carpenter Qualifications
At least 3-4 years of experience as a Residential Carpenter
Excellent communication skills
Motivated and Organized
Valid driver's license and clean driving record
Ability to pass background check and drug test
Experience in siding, windows, doors, decks and roofs a plus
Ready to join our team?
We understand your time is valuable and that is why we have a very quick and easy application process. If you feel that you meet the qualifications and have the desire to work with the best in the business, please fill out our 3-minute mobile friendly application so that we can review your information. We look forward to meeting you!"
298,Project Manager,"Part-timeAs the eLearning Project Manager within Agronomy, responsibilities will include but are not limited to:
Managing business development and relationship management with key clients
Externally this includes developing new program opportunities, selling existing programs, assessing client needs, and communicating with program participants
Internally - coordinate coursework development including program design, work with faculty to produce educational materials, manage contact lists, and obtain program evaluation
Developing in-depth client relationships such that the organizational structure, business challenges, competitive environment, and the role of key decision makers is understood and utilized to sell, develop and implement educational efforts
Collaborating with faculty subject matter experts
This represents a part-time position (50% CUL) working approximately 20 hours/week.

Qualifications

Required:
Bachelor's degree in Agricultural Business, Marketing, Management, Communication or related field
Two yearsÛª experience in project planning and management including process, timeliness and budgetary
In lieu of degree, consideration will be given to an equivalent combination of related education and required work experience (Associates + 4 years' experience)
Experience in relationship management and educational program development
Knowledge of University procedures, regulations and policies

Knowledge of course management software such as Blackboard Learn

Ability to compile, organize, retrieve and disseminate technical information
Strong oral/written communication skills, preferably in an educational environment
Skills in managing mailing lists, email contact lists, distribution lists
Excellent organization and time management skills with the ability to compile, retrieve and disseminate technical information
Ability to independently coordinate projects and bring to a successful completion
Strong interpersonal skills and ability to influence and build work relationships among a diverse workforce at all levels including faculty, and industry executives and managers
Ability to work independently, assume responsibility and demonstrate creativity and initiative
Flexible and innovative, able to adapt to tasks that will change over the course of the year
Proficiency with personal computer and related software including Microsoft Word, Excel, PowerPoint, Outlook, etc
Ability to travel in-state and out-of-state
Valid driverÛªs license
Preferred:
Experience with agricultural businesses.
Management experience including strategy, finance, human resource management, sales and marketing
Additional Information:
This represents a part-time position working approximately 20 hours/week.
A background check is required for employment in this position.
FLSA: Exempt (Not Eligible For Overtime)
Retirement Eligibility: Defined Contribution Waiting Period.
Purdue University is an EEO/AA employer. All individuals, including minorities, women, individuals with disabilities, and protected veterans are encouraged to apply."
299,Visual Merchandiser,"Part-timeAbout the role We are looking for passionate, self-motivated team members who strive to make things happen in order to achieve results. In this position, you would be responsible for a variety of concession stores, consistently delivering exceptional standards in merchandising and building partnerships with our concession business partners.Key accountabilities include;Driving stores salesRecover, replenish and merchandise the concession store during frequent visitsImplement and execute the Planogram in-line with In-Store Presentation guidelinesControl ShrinkProactively look for and make suggestions on how to improve salesWorking collaboratively with concession team and key partners across the business to ensure result areas are aligned with ClaireÛªs business strategy, mission and valuesBenefits: Company provided cell phoneHourly rate PLUS 40 cents a mileFlexible scheduleQuarterly bonusAbout youHas experience working in a fast paced environmentStrong customer service and relationship skillsCan work on their own initiative and has a ÛÏcan doÛ attitudeReliable vehicle with valid driverÛªs license requiredAble to bend, stoop and stand during scheduled shifts\Able to lift up to 25 lbs. regularly and up to 75 lbs. occasionallyWilling to travel locally approximately 80-90% of his/her timeAbout ClaireÛªsClaireÛªs is a leading high street fashion retailer with over 3000 stores globallyWe specialize in fashionable jewelry, accessories and cosmetics productsWe are a fun place to work with flexible scheduling! We encourage all store members to wear our productJob Type: Part-timeExperience:Visual Merchandising: 1 year (Preferred)License:drivers (Preferred)"
300,Sales Associates,"We are genuine in our belief that sports make people better and so are you! Immerse yourself in a workplace that loves to be active and lives the brand. Associates joining our team have an opportunity to be a part of the #1 sporting goods retailer in the country and create a lasting impact on their communities through sport and activity.

On our Team, everyone plays a critical role. Your Mission (and Ours) is to serve and inspire athletes and outdoor enthusiasts to achieve their personal best through the relentless improvement of everything we do.

Sales Associate Duties:
Create a world-class customer experience by providing passionate customer service and selling through customer engagement, specifically (but not limited to) our Team Sports Department
Uphold company standards for merchandise presentation of the best apparel and equipment brands in sporting goods
Demonstrate ability to genuinely interact with customers to show passion, knowledge, dedication, and commitment in their sport or activity
Promote company programs including warranty sales, Scorecard (loyalty program), private-label credit cards, and other seasonal promotions
As business needs arise, other tasks may become necessary
Qualifications

Success Profile:
Flexible availability ÛÒ including nights, weekend, and holidays
Ability to adjust priorities and manage time wisely in a fast paced environment
Passion for Team Sports
Click HERE to review our Rewards & Benefits Information

Depending on position, candidates seeking employment with DICKÛªS Sporting Goods, Field & Stream, or Golf Galaxy should be prepared to successfully complete a pre-employment background check prior to beginning employment.

DICKÛªS Sporting Goods is an Equal Opportunity Employer."
