desc,title
"
        


 
Are you an entrepreneur, hustler, and jack-of-all-trades who is excited to join a rapidly growing startup? Rinse is looking for people that are excited about the opportunity to join a new Chicago Operations Team on the ground floor and help build out and maintain high quality operations as we grow.

    

    ","▶Hiring: Full-Time Evening Operations Associates, Rinse CHI◀"
"
        
Looking to join an industry leading family business where you will be valued for your hard work ethic!?! Looking for growth potential while still being home on nights and weekends!?!

48 Year Old family owned National beverage supplier headquartered in Elk Grove Village, IL is looking for a warehouse manager for an immediate start! BrewSmart Beverage is proud to offer one of the largest portfolios in the industry of national and locally roasted coffees, teas and espressos. 

Over-see day to day operations while maintaining a positive attitude to fellow employees and customers alike while working directly with the Vice-president, service managers and owner. Duties will include packing/ picking, shipping, inventory management, forklift operations, loading and unloading and more! 

Salary + Bonus!
5:300A - 3:30P Monday through Friday with no nights or weekends!  
Sign on bonus after 3 months plus a Samsung or Apple Smart Watch!

If interested in learning more about this opportunity, please submit your resume today via email. Please paste your resume in an email or attach file in a ""PDF"" format only.

Qualifications:
Out going and professional personality. 
- High School degree required. College degree a plus
- Good communication and customer care skills
- Well-organized and attentive to detail
- Must possess strong leadership skills and customer service abilities, coupled with proven written and oral communication skills.
This position is active and requires standing, walking and lifting. This position requires the ability to lift warehouse products and equipment, up to 50 pounds.
Prior knowledge of UPS Worldship and FedEx shipping software preferred!

Compensation
- We offer growth and development potential. We are a company that believes in building from within the organization, giving good people the opportunity to prove themselves and grow over time. 
- If you join us, you can look forward to an excellent compensation package that includes an annual bonus opportunity, an excellent health plan, dental plan, paid time off, and more. 

Medical & Dental Plans Available (Co-Share)
Paid Holidays & PTO after Training period.

Qualified? Interested? Reply with a current resume for immediate consideration!
    ",WAREHOUSE MANAGER!
"
        
Local business is looking to add an office assistant who will be assisting in the day-to-day flow of the business. Duties include attending phone calls, deliveries (packing & unpacking), advertise, and work very closely with the manager. We are looking for a very positive oriented employee. The office is located near Lincolnwood, IL. Residence must be close to our office in Lincolnwood.

Details will be discussed over the phone. 

Please text the following info to 847-791-9084. NO CALLS !!!ONLY TEXTS!!

Name:
Driving License?
Zip Code of Residence:
Age: 
Gender:
Start Immediately?




    ",Immediate Office Work Position- Full Time
"
        
Excel Plumbing, Wheeling IL

We are looking to expand our team with people who will be a part of the fastest growing Home Service Company in the Chicagoland area. Our company offers an amazing environment, real opportunities for career growth and personal development and great benefits. Our focus is on providing the best experience and quality services for our customers and we need to add new members to our team, who will share our vision.

What we are looking for:
A responsible, diligent and team-oriented individual. They excel in organizational skills, effective communication and are ready to be a part of the fastest growing Home Service Company in the Chicagoland area that offers amazing growth opportunities, great benefits, and outstanding working environment.

What you will need to do to succeed:
Organize and manage the inventory in a timely efficient manner.
Manage warehouse tools and equipment.
Prepare, submit and follow through on purchase orders.
Research current pricing trends to assure best deals are provided by vendors and suppliers.
Oversee receiving of equipment and material from suppliers for order accuracy.
Examine receipts and statements for accuracy and submit to accounting.
Build and maintain relationships with vendors and suppliers.
Develop and update processes and procedures of the department.
Contribute to team effort by assessing current needs and completing necessary tasks.
Offer suggestions on improvement to upper management.
Comply with federal, state, and local warehouse and material handling regulations.
Maintain standards of health and safety.
Other duties as assigned.

What skills and qualifications you need to have:
Ability to multi-task, prioritize, and manage time efficiently
Strong decision making and problem-solving skills
High School diploma or its equivalent.
Two plus years of experience in Warehouse Supervision or related area.
Excellent communication & computer skills.
Excellent organizational and multitasking skills, great attention to detail, and ability to complete assignments with minimal supervision.
Team Orientation.
Great attitude.
Ability to meet deadlines and manage demanding situations.

We offer:
Fantastic opportunity to grow with our team.
Ongoing Training program.
Paid benefits.
Paid time off after eligibility period.
Paid Holidays.
Employee rewards and perks.

Compensation commensurate with experience.    ",Warehouse Supervisor
"
        
Currently looking for part-time Distribution Contractors to work in our Distribution Center, located at 2100 W Hubbard Street, 
Chicago IL 60612.

Work hours are in the early mornings and include holidays and weekends, approximately 30 hours per week.

The work consists of:

Opening and closing the distribution center 
Stacking bundles on tables 
Assisting with the delivery of newspaper routes 
Maintain Work Area
Other duties assigned by the Manager.

Candidates must have a valid driver's license and good driving record, as well as a reliable vehicle and proof of auto insurance. 

Other requirements include basic computer skills and the ability to lift up to 50 pounds. 

Bilingual, a plus - must be able to understand and communicate in Spanish.

The starting hourly wage for this position is $10.00. 

Will train the right candidate.  This is an excellent way to learn the newspaper business.
    ",Distribution Contractors
"
        
(If you're interested in owning a State Farm Agency, please call 847-358-5888)

This is an opportunity to be part of a successful State Farm Sales Team in Rolling Meadows, IL.  Our agency is committed to helping families and businesses grow and protect their assets.  We're looking to hire Account Managers who will help us fulfill that commitment.  The main focus of this position will be to sell insurance and financial services via telephone or face-to-face consultations.  WE ASK THAT ALL APPLICANTS HAVE AT LEAST 1 YEAR OF SUCCESSFUL SALES EXPERIENCE, AND THAT APPLICANTS LIVE WITHIN AN 13-MILE RADIUS OF ROLLING MEADOWS, IL. 

Account Managers will be held accountable for meeting sales goals every month.  Therefore, it is critical that applicants are accustomed to a results-driven environment.  You must be comfortable networking, developing centers of influence, cold calling, and cultivating relationships with local businesses.  

Account Manager Responsibilities Include (not limited to):

•Consulting with clients about insurance products: Auto, Home, Life Health, and Business Insurance
•Opening bank accounts for clients: Vehicle Loans, Mortgages, Credit Cards, Deposit Products, CD's, Home Equity Loans, and HELOC's
•Servicing existing clients by responding to inquiries, reviewing coverage, executing policy changes, assisting with claim handling, reviewing customer accounts, and calling for late payments
•Meeting with at least 2 clients face-to-face to assist them with their retirement needs, education savings, and/or life insurance needs (outside appointments are common - at least 1-2 per week, so it is critical that applicants have reliable transportation) 

COMPENSATION:  Base + Commission

2-YEAR ADVANCEMENT OPPORTUNITIES: 
Successful Account Managers are given the opportunity to pursue a career as a State Farm Agency Owner, State Farm Agency Manager, or a position within our corporate office.  (Individuals looking to start their own business someday are highly encouraged to apply)

Applicants must get licensed for Property/Casualty and Life/Health within 45 days of hire.  The cost of licensing is paid by employee and reimbursed by employer 90 days after acquiring both licenses. 

For more information, please contact Geovanni Trujano at 847-322-4296, or to apply, please reply to this post and include your resume.

Tags:
Palatine, IL / Schaumburg, IL / Arlington Heights, IL / Mount Prospect, IL / Wheeling, IL / Elk Grove Village, IL / Prospect Heights, IL / Des Plaines, IL / Inverness, IL / Barrington, IL/ Buffalo Grove, IL    ",State Farm - Insurance and Bank Representative
"
        
Throughout American history, there has only been a handful of employment opportunities where you ""do not"" need prior experience to make $1 Million Dollars or more within one year...

Work form home, or in your office.

You are in charge of your own destiny - this is a ""1099 position"", ""NOT"" a W-2 position.

We are a small business loan company that loans unsecured working capital up to $1,000,000.00. 

...we are ""NOT"" your ordinary company. 

...and this is ""NOT"" your ordinary opportunity.

""WE WILL GET BACK TO YOU""... 

""You have my word on it,' Bret Martin,' CEO and Founder"".

At a minimum, you should expect to make a low to medium ""6-figure"" income your first year. 

You get paid quickly! Often times the 1st week!

No Experience Necessary- 
No ""COSTS"" to be part of this ""EVER"" No Games, No ""BS"".

This is the opportunity of a life time.

TO LOOK OUR WEBSITE OVER - 

LEARN about us!!! 
...and what we do! 
...rise up!

We are a ""small business loan company that loans up to $1,000,000.00 in 5 to 7 days. 

Again, you get paid Quickly!

We train you over the phone 1 (one) hour a day for 5 (five) days.

Bret Martin, our CEO handles the training, and he trains our ""1099"" men and women each morning at 6:00 am pst (west coast time) 9 am est, 8 am central, 7 am mountain time- Monday through Friday for one hour via the telephone.

We are one of the most ""trusted name brands"" in the business loan alternative industry.

Work form home, or in your office.

You are in charge of your own destiny - this is a ""1099 position"", ""NOT"" a W-2 position.

We are a small business loan company that loans up to $1,000,000.00. 

And we close these loans quickly. Thus ""YOU"" get paid quickly.
-------------------------------
We are one of the largest companies in the Small Business Loan industry, and we are looking for motivated ""Money Hungry"", ""Success Oriented"", driven individuals to join our team as Independent Sales Organizations/Individuals (ISO)​ partners.​​​

Our DNA can be traced back to the inception of this industry.

You'll have the opportunity to offer small business loans, business loan alternatives up to one million dollars ($1,000,000.00), also known as merchant cash advances (or, in CA, simply​ referred to as business loans), to business owners in all 50 states. 

What business owner does not need money? 

Banks have all but stopped loaning working capital to business owners.

Help business owners stimulate the economy, and in return, stimulate your bank account.

This is a ""Win-Win""

​We have a very high approval rate - 94​% of the business loan applications submitted are approved.

And, our loans​​​​​​​​ close quickly - over 95% ​are funded within 5 days​ or less.​

...which means you get paid fast!

You get paid on the renewals on the file ongoing.
----------------------------------------------------------

Work from home of from an office,

Work inside or outside,

Work part-time or full-time,

Make a little or a lot!

You'll be your own boss, so you get to decide!
-------------------------------------------------------

Take this as far as you want to go...

The Income Potential is Unlimited!

This industry is growing quickly, and, financially speaking, there is nothing else like this on earth. 

If you have suffered financially due to the economy the last 5 to 9 years, we are your gateway into this industry and a better life financially speaking!

Whether you want your old life back financially- 
...or are looking for a new career, this is the ""short line"" to your financial success! 
-----------------------------------------------------------------------------

No Experience Necessary​ 
- ​however, some sales experience is ​helpful.

Grey hair is OK...

If you have been told NO elsewhere because of your age, this may be the place for you.

NO RESUMES WANTED- 

...send a paragraph about yourself, what you've accomplished, and, why we should choose you!

---------------------------------------------------------------------

TO LEARN MORE about Mom & Pop Merchant Solutions and the ISO position, visit 

Once on our site, 
LET US KNOW YOUR INTERESTED for our 1099 position, 
Click on the ""ISO Partner"" tab... At Mom & Pop Merchant Solutions, a business loan company.









ISO partner,ISO Program,merchant cash advance,business loans,Hard Money,Bad Credit,Sales Jobs,Business Management,Mortgage Brokers Realtors,Loan Officers,Salesmen,Salesman, Saleswoman,Saleswomen,Financial Jobs,Stock Broker,MCA/ACH,small business loans,SBA,Business Loans,Small business loans,    ",$$$$$$$$$- MAKE OVER $1 MILLION IN A YEAR - $$$$$$$$$
"
        
You always save BIG money at Menards, now is your opportunity to make BIG money!

MENARDS in Michigan City wants to team up with YOU!

Don't just settle for another job, own and operate your very own business as an Independent Delivery Service/Operator

Menards, the #1 Home Improvement Center in the Midwest, is rapidly growing and we want you to grow with us!

The Michigan City Menards is looking for someone to own and operate their own Masterlift delivery service

*GREAT Income Potential!
*Low Start-Up Costs!
*Be Home EVERY Night with your Family!
*Exciting Consistent Year Round Work

All you need to do is drive and deliver, we handle the rest!

Don't let this GREAT opportunity pass you by. Give us a call @ 219-879-2310 or visit our website  or stop by 5260 South Franklin, Michigan City, IN 46360-7372 to learn more about this great opportunity!    ",Make BIG money with Menards
"
        
The Surace-Smith Agency is looking for a select group of leaders, entrepreneurs, and high achievers eager to jump start their career with a fast-paced, stable, and internationally growing company. Surace-Smith is a subsidiary of the Fortune 1000 company, Torchmark Corporation, and has previously won Top Workplace awards, 4 years in a row, in the Cleveland, Ohio, territory as voted by Cleveland.com and The Cleveland Plain Dealer. Forbes Magazine recently rated us as the 24th Happiest Place to Work in America, beating out Disney! Because of our record grown and expansion into Wisconsin, the company is currently looking for honest, enthusiastic, up and comers that will become the organizations leaders here in Wisconsin.  

We are currently looking to fill multiple positions across various departments, including our Leadership Development Program (as well as customer service, human resources, sales, sales management, leadership). Great opportunity for someone that is looking to change their life and help others at the same time.  

For the last 65 year the Torchmark Corporation/ The Surace-Smith Agency has provided the permanent benefits for over 20,000 labor unions and its members (National Union of Teachers, Fraternal Order of Police, International Association of Fire Fighters, United Auto Workers, Teamsters, IBEW, LIUNA, etc...) 

***WE ONLY WORK WITH UNION MEMBERS WHO REQUESTS OUR SERVICES***

Reply with an attached resume to be considered for any potential position.  


Visit www.torchmarkcorp.com for more information.



    ",Open Positions- FORBES MAGAZINE TOP 25 WORKPLACE -Milwaukee
"
        
Gerald Nell Inc., a Waukesha county based General & Mechanical commercial construction firm has an immediate opening for an experienced project manager

Minimum 5 years' experience in commercial design/build construction.

Duties include but are not limited to:
•	Daily client interaction.
•	Daily project management.
•	AutoCAD drawing review and mark up.
•	Concrete, masonry and carpentry take-offs and estimating.
•	Procuring subcontractor and material supplier bids.
•	Draw requests, invoicing, subcontractor agreements, insurance, etc.
•	Shop drawing review and approval.
•	After hours plan commission meetings, client meetings, government meetings, and networking events.
•	Working with project management staff and real estate/property management staff on various projects.
			
Benefits include:
•	Paid Holidays
•	Paid Vacation
•	Health Insurance
•	Dental Insurance
•	Vision Insurance
•	Short and Long Term Disability Insurance
•	401(k) plan
•	Profit Sharing
•	Generous Bonus plan

Pre-employment drug screen is required
This is a great opportunity for the right individual!
    ",Construction Project Manager
"
        
We are looking for an experienced station manager at our Sussex, WI location.

The ideal candidate will be a hard worker with excellent communication and leadership skills that is able to handle multiple personalities in an ever changing working environment. They must be highly proficient in Excel and Google Sheets. They must enjoy working in a collaborative environment and must be a team player.

Responsibilities include but not limited to:

-Weekly payroll
-Scheduling
-Managing dispatch and guiding dispatch to manage delivery drivers
-Meeting high stringent deadlines
-Data entry
-Data analyzation

Pay: Based on experience 
Job Type: Full-time    ",Station Manager - Courier Operations
